gpe,counts
美國,5378
日本,2638
英國,2783
中國,3812
澳洲,1879
加拿大,1835
韓國,1197
德國,883
菲律賓,832
法國,586
香港,535
荷蘭,332
新加坡,280
西班牙,332
紐西蘭,278
義大利,195
泰國,147
捷克,121
波蘭,99
俄羅斯,189
馬來西亞,126
瑞士,79
瑞典,76
立陶宛,75
愛爾蘭,66
越南,60
芬蘭,58
比利時,57
奧地利,53
印度,42
葡萄牙,41
墨西哥,34
土耳其,31
